User Name ,Date,Rating,Content
Anthony Guzzo,2023/08/20,4,"I really like this game. It took me some time to get into it, but it's fun. One thing I wish it had, was some kind of a custom sandbox mode that didn't affect unlocks etc. Where you could choose whatever weapons/items/stat combos you wanted freely to experiment. It's fine without that though, I just sometimes want to see what it'd be like to have certain hard to get weapons fully maxed out, like the Gatling or obliterator."
Ricky Ricardo,2023/09/07,4,"same as the desktop version , just wish you had the same accessibility options.Edit2: updates have fixed most issue (not all) and added endless mode. Edit: after some time playing, found bug that limit gameplay. Beating a level difficulty doesn't process. Says I beat it but won't let me play the next. Turrets and mines spawn on edge of map. Also no endless mode"
ray weaver,2023/07/24,5,"Phenomenal game. Honestly just a way better vampire survivors. Amazing Stat system, amazing weapon system, and not too easy but not too difficult for the most part. The only issue I have with this game is the butcher is seriously grossly overpowered for the mobile version because movement is more difficult on mobile. It sucks having an amazing run going only to have it cut short because I was unlucky enough to run into him on wave 11. Needs to be patched and toned down ASAP."
Zack Hatfield,2023/05/16,4,"Brotato is exactly what I'm looking for in a premium game. It is easy to learn but hard to master and there's a decent amount of content. And the content isn't behind microtranactions😃 it's really refreshing. I prefer these types of games to games reliant on in app purchases. There could be more diversity with the enemies and map. But the simplicity is nice. There could also be more of a tutorial for learning game mechanics. Even just a quick briefing. Overall, a very fun game🤌"
Nicholas James,2023/04/22,2,"Fun for a bit, but due to bugs and slow patches the mobile version is quite a bit less fun than the computer version. Homestly, purchase the non-mobile version and you'll have a much better time. I've lost my progress twice due to patches, and higher level play is significantly more difficult due to changes in the coding of enemy speed on mobile."
Trey Ritter,2023/04/04,4,"Really enjoy this game. Great replayability and you can unlock harder difficulties so you can test you skill or just casually play for a few minutes if you need to pass the time. I just wish there was controller support because on screen controls tend to be finicky, hence the 4⭐. But I will give it full 5 if this gets added! Thank you for a great game!"
Alli m,2023/04/22,4,"I love this game so much on PC that I had to get it on my phone. I would give it 5 stars but there's a frustrating bug that puts me back to aggression level 1 or 2 when I've unlocked danger level 4. I like to grind for achievements, but doing it over and over again to just get back to where I am is frustrating"
Jacob,2023/03/29,5,"I saw this game on a YouTube video and it looked addictively fun(it is) and I'm really excited it was released on mobile. My only issue is that cloud save won't connect even when I have internet and also a zoom slider in the options menu would be nice. Other than that it's a very fun game ,the effects and simple controls make it satisfyingly relaxing"
Alejandro Salud,2023/04/10,4,"Overall I feel like this is a great port of the game as I have been addicted to the game since I bought it, but I have run into issues. sometimes there are audio issues when you hit too many targets, which is minor issue. One big problem I'm facing is unlocking streamer and speedster(?) where I meet the required speed but don't unlock the character and its really been bugging me. Another problem I saw was that arms dealer didn't have a weapon at every shop which kind of ended that run."
Ben Ordal,2023/04/10,2,"Edit: Keep finding more game breaking bugs. Slow weapons will all attack the same target instead of multiple different enemy. Food won't magnetize. If you unlock danger level 1-5, the game won't remember it so you will have to start over at 1. The -20% speed unlock does not work. Accessibility options are listed under game description but are nowhere to be found. Love this game on PC but the mobile port is not tuned correctly. The bosses hit way harder and faster on mobile."
Jeff R,2023/04/22,4,"The game has been amazing, and I play it as often as I can. I've only been having issues with the saver class. For some reason, while playing as them, your armor will randomly drop without explanation, making it hard to progress. I've ehecked out full description and held items to be sure."
Aaron Cordova,2023/03/30,4,"The game is great on mobile. Only issues are: 1. When you play for achievements, if you exit the game after obtaining one, it doesn't save it, forcing you to replay to obtain it again. 2. Sometimes the save states don't return you to the same game you exited. Would like to see a save option for the current run."
J W,2023/03/28,5,"An excellent mobile port for an excellent game! It runs identical to the pc version and touch controls are just *chef's kiss*. If I could change just one thing though, it would be to have an (optional?) confirmation screen when selecting level up upgrades because it's easy to fat finger the wrong thing."
Will Kaufman,2023/04/24,3,"Unsatisfying meta: Pretty straightforward rouge-lite arena shooter that stands out because of the gear and skills you can use every run, and the constraints of each character. But if you're not winning runs, you're don't ulock a ton or make anything that feels like permanent progress. And you NEED to have certain stats really high to beat the boss, which can come down to luck. Unless maybe you're playing w/ a controller instead of less accurate touch controls? Anyway, meta feels light and slow."
Ahead What,2023/05/11,3,"The update made the game much more enjoyable. Nice job on the fixes. However, these are some bugs I have seen so far: Arms Dealer does not get a guaranteed weapon choice during rerolls as intended. The looter still does not drop crate 100% of the time. The spitter seems to shoot its projectile noticeably faster than its PC counterpart. Land mines still spawn on the perimeter. The wave completed and run lost message is missing after a wave ends."
Craig Schnabel,2023/04/27,1,"Great game, but the mobile version is significantly harder in a not fun way due to a few minor differences, most notably no pickup range on fruits. Makes it extremely difficult to pick them up when in need if you need to actually walk directly over it. Edit: on further playing this is a buggy mess that is no more than a frustrating way to waste time then lose for incredibly stupid reasons. Should be ashamed to charge the same price as the pc version, this shouldn't have been released yet!"
Valerio Depino,2023/10/29,3,"Poggy android port. Somehow feels harder than the pc version tho. There are 2 issues that refrain me from giving 5 stars. The pursuer will keep killing you on every melee build, since the knockback of slashes pulls him in the player's face. Second issue is when the player's weapons start to fire: on pc version weapons have a random factor that prevents them from firing all at the same time and on the same enemy, making the gameplay easier, more satisfying and more balanced. Fix it please."
Zachary Halls,2023/11/07,5,"Fun and casual gameplay with progressive mechanics and very simple inventory management. I've not reached wave 20 yet, so I'm not sure if there are any story elements, but the game play is fun, so that's what matters most. Disclosure: I played this game for free via Play Pass."
worldlywonders,2023/10/26,5,"Perfect game to kill some time! Lots of possibilities and variety in runs. There isn't too much depth to it all, but what's there is effective at giving a good gameplay loop. Recommended for those who are fans of games like 20 Minutes Until Dawn and Binding of Isaac"
Cqstle,2023/11/05,5,"Thisato gameato isato amazato! Seriously though, I can't say enough good things about Brotato. Mobile is a little tougher than the PC/Switch version due to touchscreen movement. I wish it would be updated to the current versio, but it's still a blast. If it came out for PS5 I'd buy it again, just like I did with Slay The Spire."
Treigh Grandstaff,2023/09/13,5,Great game but I think I found a bug and it is a weird one play fisherman and take the rock get as many baits as possible and keep getting rocks it happened at round 4 shop I was able to keep purchasing the same rock until I ran out of money and died while in the shop. But besides that this game is amazing I've spent so many hours playing! Definitely worth getting and I'm loving the new characters!
Bora Bozkurt,2023/10/20,3,The game is usually played while waiting for something soo portrait mode could be great and the cloud system doesn't really work I have 2 phones same account but totally diffirent saves. Other than that it's perfect.
Shock -,2023/11/09,4,"Fantastic game, only gripe I have is that my stats get cut off in the shop. My phone in landscape mode apparently isn't long enough to show me my stats; I have a Google Pixel 4a, if they could fix this I'd be very grateful."
Ronald Ragland,2023/10/31,2,"Was a 5 now a 2 l, I don't know what you did but the midboss on lvl 5 difficulty is insanely hard all of a sudden, almost impossible. I have unlocked all chars and weapons so it's not a skill issue especially when you can only pass if the boss doesnt spawn, something changed."
Kobie Pharis,2023/11/05,3,Danger 1-4 are to easy but danger 5 is fun but way to hard. Most of my runs die before round 9. And what's with this new Halloween boss? Round 4 and I'm trying to use streamer and I can't do anything cause of him. I have beaten danger 5 with a couple characters but only on perfect rng luck like getting a mini gun round 6. Expect to lose 97 percent of time. If you don't start perfect restart while you're ahead cause you'll just die anyways. Especially the first mini boss he'll destroy you.
Alex,2023/10/08,5,Movement is trash. They need to give I frames or something to make up for garbage Movement. Not even close to as good as the pc version. Update:10/7/23 huge improvements have been made. It's a lot closer to the PC version. I'm glad I held out and waited for them to smooth out mobile gameplay.
Darrell Mcgee,2023/11/07,4,"very well made but could use some balancing tweaks with the characters and perks. some are character builds are very easy with certain perks, but some seem to be impossible with any combo of perks. otherwise it would be 5 out of 5 for what it is"
Adam,2023/09/13,3,"Pretty dynamic and has variety of playstyles. There is a bug though which makes the weapon description appear after each wave is finished when you enter the shop. Happened before update occasionally but now it got way worse and happens every time. On top of that, it appears every time I reroll in shop."
Nick Carson,2023/11/04,5,"Brotato is really fun. It's simple, and does not require a large time investment to enjoy. I initially got this on Steam for my PC and SteamDeck, and it's performance and replay factor continue bringing me back."
Tyler,2023/10/01,2,"Pretty fun. Game has a few bugs. Knockback just hits enemies towards yourself which unfortunately most melee weapons have knockback innately, and not not many items remove knockback. Turrets and mines from items like to spawn right on the corners of the map most of the time, instead of somewhere useful. Ranged guns work though Also none of those bugs are present on computer, so just bad port I guess"
Nathan eastman,2023/08/24,4,"I would give this game a five star review but there is one small thing keeping me from doing so. That one thing is an item called the baby gecko. For those of you who don't know the baby gecko has different stats on the computer. It gives a 20% chance to instantly pick up an item, and also increases range. On mobile however instead of giving that extra range, they instead made it so it gives you a -1% life steal. I know it's not a big deal, but I would like the stats to be the same as computer."
Scott Johnson,2023/09/18,4,"Good port from the PC version with differences in the mechanics: - Knockback can hit enemies into you. - Ricochet effects appear to be not random, rather next closest available target making it less effective. - Weapon hit calculation appears different. Of 6 weapons, if 1 would calculate as a kill, other 5 still shoot it instead of acquiring a new target. - Kills seems to calculate before fire effects are applied making elemental spread much worse. Harder, less fun though."
alec man,2023/08/28,2,"I love this game, it's one of the most complex game of this type where you can do so many different types of build. but, the butcher elite on wave 11 just doesn't make runs fun. no matter how well you're doing, you're just going to have your run ended because of how broken it is. I have looked online about it and it seems like a lot of players on mobile share the same sentiments about it and for a long time already and they haven't done anything to balance that elite. cloud saves broken still."
David Yates,2023/08/24,2,"I enjoy this game. However, it's far too hard. The waves just become impossible. I haven't played the pc version, but I bet it's a lot easier. This version has endless mode, where as thr free version doesn't. But it's impossible to pass wave 20, so I feel I wasted my money."
Redemption Jame,2023/09/12,2,"Fantastic game but you need to fix the knock back issue on mobile PLEASE. Melee weapons with knock back will knock enemies into the player instead of away from them. It makes doing runs with wrenches or any other sweeping melee weapon near impossible. Also the Butcher needs to be nerfed on mobile badly, you can't stutter step like you can on PC so almost every character needs to build high speed or intense defense to stand a chance on T5 wave 11, it makes it hard to have unique builds."
Aleksandras Pancerovas,2023/10/01,2,"The boss that has 2 cleavers or whatever and a white hat before still is too strong. She spawned at wave 12 on Difficulty 5 and just destroyed me, her attack cooldown is nearly impossible to dodge, if u do dodge it u get destroyed by the other enemies, and the cooldown of her attack is too short. Nerf her please or leave her at wave 20 or something. Good thing though is that in like 20 runs i have encountered only once now, instead of 8/10 times before."
Adam Malý,2023/09/29,4,"I have played the Steam version and I gotta say it's fun game. I only played one game of this mobile version but the first problem I saw was with after wave shop when you keep having your item selected and it's quite hard to get rid of it (unselect), it covers like 1/3 of the shop screen"
Jonah Anderson,2023/08/20,5,"cool game. have it on PC (steam), good there too. recommend playing with a controller, dual shock 4 is my favorite and works great with this game and my phone. great amount of unlocks and challenge, good replayability, style similar to TBOI and other edmund games, great & engaging time waster. good stuff! more than worth 6 dollaz <33"
Jake Neutz,2023/10/30,4,"Generally fun to play, but engineering builds on mobile are nearly impossible right now. All turrets spawn on the map walls like 25% of the levels and make it extremely difficult to survive."
Stephen Furlong,2023/10/29,4,"Hello, app maker. With this most recent update it has broken a few things. I am having trouble getting turrets to spawn using the wrenches. 4 out of 10 times they aren't spawning on the map."
Jonathan,2023/09/05,5,Game now runs with the current patch and all the bugs that were ruining my experience before are fixed. Is now a full and proper port of the PC version with all the QoL features. Runs great and controls well for a mobile game. Rating updated to 5 stars.
Jameson Wright,2023/10/19,5,It's a good game for what it is a decent amount of content as a roguelike should have definitely one of my favorites. It has simplicity but also depth and action enough to where it keeps your attention.
A Google User,2023/10/05,3,"A nice little time waster. Knows what it wants to do and does it well. Pro tip: If you want mines to be more effective, play with Engineer. Otherwise, the mines spawn mostly on the edge of the map."
Nathan Dorhofer,2023/09/09,5,"With the difficulty adjustable in the options menu, it gives you a good variety of brainlessly shooting hordes of monsters and challenging stat prioritization. Lots of fun."
Alexander John Velasco,2023/10/14,4,Almost the same as the Steam version. Add a vertical / portrait orientation to allow 1-handed play and it will be perfect!
Simon,2023/08/23,4,"very good execution, I'd like to see custom sensitivity for the controller and also an option to lock it in a fixed position to be implemented, other than that I am very satisified with the game"
Asa Phillips,2023/11/10,5,"love it, I tried the. free version as well, but this one is a better fit for me. I hate microtransactions and having none available feels awesome."
Chris M,2023/11/05,5,"Great roguelike, and an excellent mobile port. My only critique is that the game offers 0 explanation of its mechanics. Would be awesome to see some sort of guidebook added."
Eli Owens (Kyle),2023/10/26,5,"Its not what i thought i seen yt play it on pc and when i seen it was coming to mobile i knew i should preorder i was late on this one (premium) and i thought since i had no money for it i should wait for the free one and tbh it seems better i bought this when i had the chance since its premium i might get the vip extra choise with it, NOPE it took away the option and theres no ingame currency it seems like a ripoff if your careful with your money don't get this one get the free one."
Brendan Neufeld,2023/10/24,5,"Great game, fun to play while offline. One thing I would like to see is an enemy section in the hand book."
Jonathan Ireland,2023/11/02,5,"One mobile game I have and can really play! Super fun, haven't played on Steam yet, thought it wouldn't be fun but I love it!"
Konope,2023/08/21,3,"Honestly, I'd give this game 5 stars on PC. The issue is the game is not balanced for mobile. The red line attacks are astronomically more difficult to dodge on the phone. Precision and accurate movement is awful with touch green joysticks. Red line attacks on mobile should be adjusted for this with a longer delay before damage. If that were adjusted and balanced for mobile, I could give 5 stars. Love the game, just think it needs a bit different balancing compared to pc."
Callum Aitken,2023/08/24,4,"Love the game, but cloud save just does not work between devices. This needs to be fixed. Troubleshooting says to log in to Goole Play Games, I have the green tick, but still just does not sync saves"
Oliver CATON,2023/08/13,4,"Great game, I've had loads of fun on it. It's worth the price, but i do have some issues with it, amd its free counterpart. The free version has many more features, including a whole talent card thing that is nowhere to be seen in this game. As well as a money system called supds. That allows you to purchase characters. I'm very curious why the free version has more features as we paid for this game."
Matt Delarosa,2023/09/12,2,Very fun game...but I wish there was a way to import progress from the non-premium version of the game. If that was available I would give it 5 stars. I have sunk hours into the other version and would recommend this game to anyone with some time to kill.
matthew styles,2023/07/31,4,Great but fustrating after mastering the steam version. Because of the controls for touch screen the elite attacks need to be wider or just balanced better. Touch screen can preform the tight precision controls needed to dodge. Also weapon tag system doesnt seem as good. It feels bad coming in not losing a run on steam in like months then coming here and getting wrecked by an elite in 2 hits.
L'Ri Talent,2023/08/20,3,"it's good as always, but i would like the option for multiple controls like in PC, where u can choose to aim at any moment, my right thumb could do that XD... also i think is not yet at the same development as the PC one, for example: there's no fisherman potato..."
Dominium,2023/07/01,5,"Great game. It just gets pretty stale after a few weeks. Really hate that the pc version always gets the better updates on every game, too. Pc currently has several new characters that we just have to wait on. I know it takes time to develop updated content for different platforms. It would just be nice to see a single game prioritize mobile for once. Other than my gripes it really is a well put together game, and I look forward to seeing new content in the future."
T J,2023/08/14,1,"Cash grab. This is nothing like the Steam game! On PC this is a 5 star game. This version is crazy difficult compared to PC...I've lost about 0/30 on PC and lost roughly 55/60 on mobile. Wave 20 on mobile is about as difficult as Wave 40+ on PC. This is not a control issue. The mobs move about 3 times as fast, always seek you out, and the bosses are comically unbalanced. If the difficulty resembled that of PC, or if unlocks occurred at Wave 10 then this would be a 5 star game. Shamefully priced."
tristan zimmerman,2023/11/08,4,"i started this on the free version and even paid for the ""freemium"" and love thei game but would really love if you could get my progress switched over to this one"
Mason Brogdon (TheMasonJar),2023/10/15,2,A very good timekiller game but it has lots of bugs like randomly my gun will stop shooting or the sound will stop or I will die randomly in the shop I have a screenshot of me dying in the shop
JAMESBFPV,2023/08/28,5,I love this game so so much!! Have it on steam and switch and will get it on ps5 if it comes there too!! I have lots of good ideas for even more characters!! Just wish I could reach the right people!! Love Brotato ❤️
Sora Udagawa,2023/10/03,4,"Very fun, many mechanics are different from the PC game so the balancing ends up feeling awkward at times, especially the mini bosses."
Steve Wild,2023/08/16,5,"a fantastic little gem ,easy too play and hard to put down with high addiction level. Edit this still blows me away if only all phone games were paid it would sort out a lot problems."
Alex Schiller,2023/08/18,5,Mobile version is always a little behind the desktop version but still worth the money. Appreciate the devs working hard to get it caught up. Great game.
Benjamin Bruun,2023/08/20,5,This game is super but the latest patch introduced a bug that ends the run after finishing the wave and your shopping for items and weapons. Frustrating to lose twice a d5 run after late game because of that.
shinjuvi (ShinJuvi),2023/09/10,2,Currently unplayable on Retroid Pocket 2+ due to the weapon description taking up half the screen on end of first wave. Latest update seemed to have caused this.
Nicholas Hartje,2023/09/24,5,"got tired of the ads and went premium, so far more stable and seems more like a skill based version of the free one."
Arnold Yap Cabrales Jr.,2023/08/16,1,Friendly advice to those who wish to buy this game. Don't. They won't fix their 4 months bug that gives real irritation. -5 stars they don't even check the reports about the bugs at all.
Michael Scherm,2023/07/02,2,I tried the free mode and was happy but the premium version has so many bugs! I often don't get any material after a wave and my screen is sometimes full with the information of items as if I was hovering over them with no way of closing the window. Instead of adding new content the game show be polished first!
Blake Cressman,2023/06/21,5,"I love this game, Its a really fun time killer, i like how i can start and stop when i have time and it'll save my run. It would be nice if we could figure out what enemy's do what such as the little ball dudes with the weird little growths or the little dude with the bone. Other then that, no issues 😁"
Kelli McAllister,2023/06/27,3,"Fun buy is way to hard. Unlockable, characters only make things more difficult, and only 1 weapon is viable early game, the sub machine-gun, that by late game even fully upgraded is useless, and you basically have to have at least 3 rocket launchers to do any damage. Need to tone it down, or at the very least give one continue."
Moe Saad,2023/08/10,4,"This game would have 5 stars if it weren't for: 1- the range on fruits is annoying. I literally have to be on the fruit to pick it up 2- beating the game was a serious challenge. But now I unlocked level 2, and that's where it ends. The Butcher just completely ruins me. I read that it's not the same as on the PC 3- I'd tweek it a bit to be a bit easier. The bosses and elites are just ridiculously strong Edit: upgraded to 4 stars. They fixed the range on fruits."
joe stachera,2023/07/13,5,"Brilliant game. I have a bug, though. I can't Unlock -20% speed guy, I've literally tried everything. Hoping the new update will fix, though I've had 2 updates and still can't unlock this character. It's my last character for level 5 difficulty so please fix for me"
Cristian,2023/07/14,5,"I got this on PC, and it was absolutely fantastic! Now I'm on vacation, got it on mobile, and it feels perfect, like the PC version. Great game, good controls, a lot to do, and no annoying adds to waste your time!"
Lazzz,2023/07/16,5,"Brotato is a masterpiece nothing else to be said. Brotato and Vampire Survivors are my two favorite roguelike right now because they are really fun and there's a lot of content. Speaking of content, I wish Brotato mobile would get more and faster updates on the future and maybe add the possibility of adding mods just like in the pc 🙏. Besides the occasional buggy achievements, this game is really recommendable."
Richard Cline,2023/06/22,5,"Value, Balance, Replayability. Initially, it just had a single track for music, then they updated it with several more great tracks. Some more music from the same composer is the biggest potential upgrade I can think of. As far as cons go, there's honestly nothing I can think of. I'm glad I bought this game, it will always be in my mobile game library. The only other mobile game I can say that about is Slay the Spire. Big props to the devs and congratulations on your success."
Distophic (Distophic),2023/08/19,4,This could be collecting data and funds for the ccp (who knows these days) but goddamn is it fun. Couldn't play with my controller unfortunately.
Ben M,2023/10/12,5,"First phone game I've ever spent money on and it was 100% worth it. Haven't had a single bug or similar, just great gaming. Mad respect to this company"
